i,j,alpha,delta,gamma
7,44,-0.0274,0.0034,-150.0
7,45,-0.0016,-0.03,-103.41
7,46,0.0181,0.0048,-69.75
7,47,-0.0285,0.0137,-29.04
7,48,0.0897,-0.0,24.48
7,49,0.0647,0.0013,-60.14
7,50,-0.0044,-0.0004,-81.88
8,9,-0.0177,-0.0094,84.71
8,10,-0.009,-0.0048,12.57
8,11,-0.0033,0.0042,-49.98
8,12,-0.0412,0.009,-8.86
8,13,-0.0525,0.0024,52.44
8,14,-0.0559,0.0003,71.49
8,15,0.0012,0.0043,-78.3
8,16,0.0332,-0.0006,-53.8
8,17,0.0548,0.0208,105.61
8,18,0.0726,0.0017,4.69
8,19,0.0507,0.0045,-10.85
8,20,0.053,0.0023,-71.05
8,21,0.0034,0.0106,-19.79
8,22,0.0336,0.011,-46.24
8,23,0.0502,0.0075,-106.44
8,24,0.0333,-0.004,-99.31
8,25,-0.0414,-0.0092,3.13
8,26,-0.0182,-0.0024,37.18
8,27,0.0002,0.0042,24.59
8,28,0.0085,-0.0201,-21.87
8,29,-0.0754,0.0014,-0.28
8,30,0.0214,0.0129,12.17
8,31,-0.025,0.0059,-31.68
8,32,-0.01,0.0109,-33.47
8,33,0.0142,0.0078,-57.29
8,34,0.0192,0.008,6.12
8,35,-0.0329,-0.0076,-32.26
8,36,0.0063,-0.0086,26.25
8,37,-0.0473,-0.001,6.58
8,38,0.0634,-0.0128,88.32
8,39,-0.0098,0.0041,7.1
8,40,0.0006,-0.0015,87.24
8,41,-0.031,0.0113,-38.66
8,42,-0.0171,-0.0107,27.3
8,43,0.0356,-0.0008,-11.81
8,44,-0.054,-0.0023,-95.57
8,45,-0.047,0.0023,79.14
8,46,0.1124,-0.0059,86.12
8,47,0.0098,-0.0015,25.96
8,48,0.0025,0.0011,-24.5
8,49,-0.0559,-0.0154,39.19
8,50,-0.0111,-0.006,0.51
9,10,0.0138,-0.0002,-25.92
9,11,0.0268,0.0138,54.62
9,12,0.0192,0.0104,99.11
9,13,0.0084,0.004,56.38
9,14,-0.0429,0.005,-74.91
9,15,-0.0338,0.011,78.82
9,16,0.0795,-0.0003,-100.66
9,17,0.0104,0.0042,-14.47
9,18,0.0653,-0.0013,4.64
9,19,-0.0195,0.0084,-19.78
9,20,-0.01,0.0002,-32.89
9,21,0.0092,0.0243,-26.89
9,22,0.0102,-0.0222,-82.59
9,23,0.0095,-0.0052,76.72
9,24,-0.0149,0.0139,3.7
9,25,-0.0089,0.0001,0.23
9,26,0.0416,-0.0222,-120.09
9,27,-0.0263,0.0011,41.41
9,28,0.0042,-0.0028,61.14
9,29,0.0209,0.0028,57.76
9,30,-0.0018,-0.0046,41.87
9,31,-0.0067,0.001,88.38
9,32,-0.0835,-0.0132,-71.22
9,33,-0.0209,-0.0015,-90.44
9,34,-0.0396,-0.0076,147.45
9,35,0.0441,-0.0031,-21.81
9,36,-0.0445,-0.0181,-7.01
9,37,-0.0399,0.0002,-96.01
9,38,-0.0329,0.0025,21.97
9,39,-0.0004,-0.0132,51.28
9,40,-0.043,0.0063,-0.64
9,41,-0.0632,-0.0032,21.92
9,42,0.0065,-0.0014,91.91
9,43,0.0203,-0.0026,45.01
9,44,0.0527,0.0196,-73.68
9,45,-0.0474,0.0148,-63.5
9,46,-0.0529,-0.0049,25.21
9,47,-0.0041,-0.0065,-40.45
9,48,-0.0285,-0.0088,136.9
9,49,0.0119,0.0089,-29.34
9,50,-0.0074,-0.0071,-150.0
10,11,-0.0513,-0.0201,-137.48
10,12,-0.0459,0.0112,16.89
10,13,0.0287,0.0021,74.78
10,14,-0.037,0.0032,71.01
10,15,-0.0273,0.0036,59.63
10,16,-0.002,-0.0105,-102.89
10,17,0.0235,0.0069,-75.48
10,18,0.0211,0.0098,23.27
10,19,0.0821,0.0183,-90.09
10,20,0.0873,-0.0034,53.14
10,21,0.0227,-0.0019,-146.54
10,22,0.0131,-0.0157,47.71
10,23,0.0807,-0.0066,1.14
10,24,-0.0318,-0.0053,46.47
10,25,-0.0112,0.0184,-28.93
10,26,0.02,0.002,47.75
10,27,-0.0234,0.0005,-6.93
10,28,-0.0351,0.0076,39.01
10,29,0.0078,0.0164,86.96
10,30,-0.0212,0.0047,-37.42
10,31,-0.0093,-0.005,97.2
10,32,0.0009,-0.0012,71.62
10,33,-0.0751,-0.0191,47.75
10,34,-0.0082,0.0035,-79.58
10,35,-0.0107,0.021,49.45
10,36,-0.0049,-0.0034,-23.67
10,37,-0.0739,0.0036,50.73
10,38,-0.0573,-0.0056,-69.45
10,39,-0.0488,0.0005,-125.06
10,40,0.0065,0.0075,-15.07
10,41,-0.1018,-0.01,73.97
10,42,-0.1122,-0.0035,-70.8
10,43,0.0132,-0.0068,24.24
10,44,0.0048,0.0184,-12.18
10,45,-0.0018,-0.0149,71.42
10,46,-0.0304,-0.0056,-1.33
10,47,-0.0625,0.0023,58.05
10,48,0.0117,-0.0159,-7.43
10,49,0.0297,-0.0188,-64.49
10,50,0.0351,0.0027,24.72
11,12,0.0458,0.0027,66.05
11,13,0.0713,-0.0041,-35.85
11,14,0.0028,0.0024,-16.87
11,15,-0.041,0.0211,42.88
11,16,-0.0093,0.014,-27.64
11,17,0.0099,0.0097,-110.43
11,18,0.0341,0.026,12.63
11,19,0.005,-0.0031,-48.72
11,20,0.0098,-0.0015,44.14
11,21,-0.0493,0.0133,-46.58
11,22,0.0351,-0.0105,73.0
11,23,0.0698,0.0145,-126.03
11,24,0.0149,0.005,-96.32
11,25,-0.0107,0.0046,33.36
11,26,-0.0047,0.0039,88.42
11,27,0.0268,-0.0277,-19.05
11,28,-0.0149,-0.0165,5.65
11,29,0.0275,-0.0099,20.18
11,30,-0.0375,-0.0057,88.64
11,31,-0.0263,0.0056,-112.27
11,32,0.0459,0.007,-10.95
11,33,0.0073,-0.0131,70.95
11,34,-0.0197,-0.001,-29.5
11,35,-0.0274,0.0079,15.35
11,36,0.0096,0.0009,30.79
11,37,-0.0226,0.0233,-94.08
11,38,0.0278,0.0147,-51.13
11,39,0.063,0.01,58.27
11,40,-0.014,-0.0022,-12.56
11,41,-0.0013,0.014,10.88
11,42,-0.0469,0.0082,55.27
11,43,0.0079,0.0075,-16.26
11,44,-0.0475,-0.0087,-98.13
11,45,-0.0067,-0.0008,-26.4
11,46,-0.1182,-0.0125,67.25
11,47,-0.0266,0.0036,-83.44
11,48,0.0575,-0.0014,17.4
11,49,0.093,0.0152,-18.39
11,50,-0.0237,-0.0033,30.59
12,13,-0.0132,-0.006,122.7
12,14,-0.0134,0.021,26.35
12,15,0.0436,0.0016,87.41
12,16,-0.009,-0.0072,12.18
12,17,0.0595,0.0035,-110.05
12,18,-0.0344,-0.0141,-143.73
12,19,0.0244,0.0165,-20.94
12,20,-0.0704,0.0007,-31.4
12,21,0.1038,-0.0145,-47.35
12,22,0.0882,0.0084,19.43
12,23,0.0246,0.007,34.43
12,24,-0.0343,0.0098,-82.38
12,25,-0.0001,0.0028,-36.98
12,26,-0.0107,-0.0052,-64.3
12,27,-0.0206,-0.01,19.37
12,28,-0.0445,0.0081,-70.89
12,29,-0.027,-0.0052,79.51
12,30,-0.0001,-0.0011,29.92
12,31,-0.0732,0.0006,119.85
12,32,-0.006,0.0017,32.89
12,33,0.0169,-0.019,-100.94
12,34,-0.0037,-0.0061,78.72
12,35,-0.0195,-0.0183,-76.08
12,36,-0.0925,-0.0013,-11.3
12,37,-0.0227,0.0118,71.91
12,38,-0.0151,-0.0203,37.04
12,39,0.0044,0.0031,58.89
12,40,-0.0558,0.0201,-57.57
12,41,0.0112,-0.0169,-55.82
12,42,0.0381,-0.0026,50.4
12,43,-0.0067,-0.001,81.83
12,44,-0.0233,-0.0178,-48.19
12,45,0.0043,0.004,-94.02
12,46,-0.029,-0.0058,-21.93
12,47,-0.055,-0.0063,-43.72
12,48,0.0309,0.0081,-8.75
12,49,-0.0157,0.0014,-48.99
12,50,-0.0459,-0.0094,-38.09
13,14,-0.0449,-0.0004,71.08
13,15,-0.0576,-0.0017,4.6
13,16,0.0337,0.0028,-121.75
13,17,-0.0305,0.0034,52.01
13,18,-0.0686,0.0071,63.27
13,19,0.0139,0.0096,-69.21
13,20,0.0152,-0.0165,-180.0
13,21,0.0577,-0.0088,-51.89
13,22,-0.0355,-0.0139,-32.17
13,23,-0.0092,0.0075,11.68
13,24,-0.0004,0.0034,94.67
13,25,-0.042,0.0005,67.96
13,26,0.0279,-0.0132,-18.74
13,27,0.0307,0.0061,11.72
13,28,-0.0165,-0.0028,17.29
13,29,-0.0176,0.0006,4.72
13,30,-0.0303,0.0063,150.0
13,31,-0.0633,0.0042,-45.61
13,32,0.0073,0.0015,45.71
13,33,0.0253,0.0029,67.92
13,34,-0.0803,0.0169,22.5
13,35,0.0223,-0.0112,-49.85
13,36,-0.0056,0.0008,16.98
13,37,0.0225,-0.0167,58.43
13,38,-0.0098,-0.001,-88.27
13,39,0.0026,-0.0241,38.9
13,40,-0.0672,0.0005,-7.15
13,41,0.0259,-0.0018,-41.65
13,42,-0.0327,0.0127,32.18
13,43,-0.0285,-0.0024,-94.03
13,44,-0.0014,-0.0176,45.11
13,45,-0.0105,0.0239,-66.01
13,46,-0.0041,0.018,71.48
13,47,-0.0278,0.0022,0.12
13,48,0.0113,-0.007,-5.36
13,49,-0.0639,0.0014,27.0
13,50,-0.0091,-0.0162,59.31
14,15,0.0009,-0.0093,0.36
14,16,-0.04,-0.0093,-57.65
14,17,0.0691,-0.0047,24.81
14,18,-0.0015,0.006,-29.9
14,19,0.0549,-0.0034,-130.08
14,20,-0.0353,-0.0034,-107.43
14,21,0.0364,-0.0026,146.22
14,22,-0.0495,0.0054,-98.96
14,23,0.0003,0.0047,-180.0
14,24,-0.0029,0.02,-27.21
14,25,-0.0022,0.0112,-9.84
14,26,-0.0274,-0.0218,38.46
14,27,-0.0134,-0.0091,7.6
14,28,-0.0275,-0.0043,36.38
14,29,-0.0502,0.0115,-83.86
14,30,-0.0299,0.0202,67.64
14,31,-0.0071,-0.0084,-31.76
14,32,-0.0078,0.0014,-5.45
14,33,-0.0109,-0.0011,-86.52
14,34,-0.0255,0.0101,-82.1
14,35,-0.0157,-0.0072,6.68
14,36,-0.0217,0.0158,30.39
14,37,-0.0494,0.0077,-46.48
14,38,-0.0273,0.0041,-29.5
14,39,0.0162,-0.0077,-37.14
14,40,-0.038,-0.0057,65.95
14,41,0.007,0.0171,136.06
14,42,-0.0511,0.0007,-70.57
14,43,-0.0422,-0.0063,-63.43
14,44,-0.0518,-0.0014,-73.0
14,45,0.0145,-0.0092,150.0
14,46,-0.0181,0.0007,-77.72
14,47,0.0682,0.0112,17.81
14,48,-0.0539,0.0021,-67.29
14,49,0.0585,0.0081,5.73
14,50,-0.0975,-0.0098,41.27
15,16,0.0685,0.0163,-131.44
15,17,0.0321,0.0152,-136.08
15,18,0.0197,0.0063,-41.05
15,19,-0.0541,-0.0009,-42.91
15,20,0.0141,-0.0038,-51.01
15,21,0.0184,0.0083,-41.31
15,22,0.0036,0.0041,-154.46
15,23,0.0391,0.003,-17.22
15,24,0.0188,-0.0185,-118.43
15,25,-0.0018,0.0009,10.21
15,26,-0.0239,0.0076,55.96
15,27,0.0045,-0.0016,-126.46
15,28,0.0131,0.0132,38.67
15,29,-0.0364,0.0077,51.63
15,30,0.0368,-0.0078,-13.59
15,31,0.0124,0.0016,-67.04
15,32,0.0024,0.0068,5.28
15,33,-0.0034,-0.0016,88.7
15,34,-0.037,-0.0049,0.66
15,35,0.0164,-0.014,-78.62
15,36,-0.0711,0.0013,-67.1
15,37,-0.0215,0.0076,-38.49
15,38,-0.0031,-0.002,40.33
15,39,0.0016,-0.0069,-10.12
15,40,0.0215,0.0039,-83.82
15,41,0.0079,-0.0108,84.75
15,42,0.0208,0.0029,9.43
15,43,-0.0223,0.0068,-22.25
15,44,-0.0068,0.0087,-33.71
15,45,-0.0366,-0.0119,-63.87
15,46,-0.0731,0.0073,108.53
15,47,0.057,-0.0163,43.49
15,48,0.0569,-0.0046,6.09
15,49,-0.0803,0.0027,-63.81
15,50,0.008,-0.0156,32.57
16,17,0.0207,-0.0098,-59.58
16,18,-0.0747,-0.0047,-20.71
16,19,-0.0565,0.0025,-11.5
16,20,-0.0423,-0.0075,94.99
16,21,0.0081,-0.0033,63.34
16,22,-0.0448,-0.0017,30.31
16,23,-0.0241,0.0024,-34.63
16,24,0.0204,0.0055,-150.0
16,25,0.0476,-0.03,-36.96
16,26,0.041,-0.0032,-87.97
16,27,-0.0437,0.0103,-115.29
16,28,0.0452,-0.0006,-71.54
16,29,-0.0233,-0.0102,51.97
16,30,0.0293,-0.0172,-24.22
16,31,-0.0345,0.0129,-81.01
16,32,0.0642,-0.0003,-69.72
16,33,-0.0271,-0.008,-76.48
16,34,0.0038,-0.0123,-130.82
16,35,-0.0152,-0.018,-45.13
16,36,-0.0364,-0.0087,120.06
16,37,0.0023,0.0025,-106.58
16,38,-0.0262,0.0022,-61.47
16,39,0.0272,-0.012,-35.05
16,40,-0.0176,0.0016,-59.83
16,41,-0.0081,-0.0024,-66.41
16,42,0.0146,0.0024,-21.2
16,43,-0.0129,0.008,-31.51
16,44,-0.0092,0.001,103.76
16,45,-0.0402,0.0077,-147.52
16,46,0.0115,0.0209,44.21
16,47,0.0101,-0.0047,12.17
16,48,-0.0026,-0.0074,-10.29
16,49,0.011,-0.0072,-46.44
16,50,-0.0358,0.0067,48.17
17,18,-0.0031,0.0077,26.15
17,19,0.0018,0.001,13.59
17,20,-0.0259,0.0201,-11.64
17,21,-0.03,0.0023,37.63
17,22,-0.0521,0.0092,13.41
17,23,-0.0433,0.0099,63.8
17,24,-0.0506,0.0178,39.53
17,25,-0.0004,0.0159,9.56
17,26,-0.0011,-0.0066,34.91
17,27,0.0191,0.0001,-47.4
17,28,0.0052,-0.0007,-80.01
17,29,-0.0589,0.0057,-150.0
17,30,0.0082,-0.0048,78.49
17,31,-0.0197,0.0066,-23.81
17,32,0.0045,0.0074,-27.75
17,33,0.0399,-0.0099,17.68
17,34,0.0369,0.0066,114.99
17,35,-0.0305,-0.0138,-59.66
17,36,0.0264,0.005,6.14
17,37,-0.0449,0.0077,-73.48
17,38,0.0464,0.0286,21.99
17,39,0.0175,-0.0049,-141.71
17,40,-0.0181,-0.0109,-116.29
17,41,0.0517,0.0027,11.58
17,42,-0.0093,-0.0017,52.52
17,43,-0.001,0.0053,-28.72
17,44,-0.0103,-0.0141,-153.44
17,45,-0.0078,0.0006,-105.03
17,46,0.004,0.0026,-140.92
17,47,-0.0225,0.0069,37.09
17,48,-0.0296,0.0039,81.57
17,49,0.0283,0.0009,-22.76
17,50,-0.0139,0.0076,23.66
18,19,0.0089,-0.0007,77.31
18,20,-0.0072,0.0058,80.96
18,21,-0.0341,-0.0201,128.04
18,22,-0.0023,-0.0191,-29.97
18,23,0.0132,-0.0048,-15.84
18,24,0.056,-0.0105,-47.89
18,25,0.0085,0.0039,29.78
18,26,0.0364,0.002,29.36
18,27,-0.0104,0.0006,6.45
18,28,0.0086,0.0077,33.31
18,29,0.0018,-0.0081,4.06
18,30,-0.0011,0.0019,132.39
18,31,-0.021,0.0042,64.11
18,32,0.0039,0.0234,-22.68
18,33,0.013,-0.008,-21.09
18,34,0.01,0.0085,19.15
18,35,0.0504,-0.0009,-19.93
18,36,0.1082,0.0039,-43.17
18,37,-0.0278,-0.0094,56.19
18,38,-0.0146,0.0013,-3.81
18,39,0.0219,-0.0085,-90.29
18,40,0.0067,0.006,8.28
18,41,-0.0243,0.0068,-67.07
18,42,-0.0156,-0.0094,76.08
