farmer_id,practice_id,CSP_ij_tCO2e_per_ha_season,y_ij_ton_per_ha_season
F0008,1,1.2279,-0.0631
F0008,2,0.956,-0.0279
F0008,3,0.841,0.0031
F0008,4,0.5445,-0.043
F0008,5,0.3143,-0.066
F0008,6,0.5305,-0.0069
F0008,7,0.8995,-0.0274
F0008,8,0.1784,-0.0522
F0008,9,0.1493,-0.0803
F0008,10,0.1374,-0.0228
F0008,11,0.8306,-0.0563
F0008,12,1.5151,-0.0801
F0008,13,0.4238,-0.0992
F0008,14,0.2747,-0.122
F0008,15,0.5092,-0.1228
F0008,16,0.7905,0.0167
F0008,17,0.424,-0.2221
F0008,18,0.3314,-0.0706
F0008,19,0.2522,-0.105
F0008,20,0.0817,0.0018
F0008,21,0.1414,0.0544
F0008,22,0.0765,-0.0209
F0008,23,0.2451,-0.0178
F0008,24,0.178,-0.0326
F0008,25,0.2367,-0.1082
F0008,26,0.1048,-0.1179
F0008,27,0.3041,0.0598
F0008,28,0.2333,0.0384
F0008,29,0.1687,-0.017
F0008,30,0.096,-0.0584
F0008,31,0.285,-0.0253
F0008,32,0.2341,0.0303
F0008,33,0.2515,-0.0136
F0008,34,0.21,-0.0361
F0008,35,0.0526,0.0045
F0008,36,0.1181,-0.0012
F0008,37,0.3422,0.0018
F0008,38,0.063,-0.0243
F0008,39,0.6411,-0.0317
F0008,40,0.9019,-0.0038
F0008,41,0.635,-0.0402
F0008,42,0.4617,-0.1155
F0008,43,0.0862,-0.0128
F0008,44,1.3164,-0.0477
F0008,45,0.0691,-0.0278
F0008,46,2.0108,0.0871
F0008,47,0.461,-0.0096
F0008,48,0.3265,-0.043
F0008,49,0.5141,-0.0062
F0008,50,0.2211,0.0342
F0009,1,0.7562,-0.0316
F0009,2,0.886,-0.0471
F0009,3,0.6853,0.0575
F0009,4,0.4542,-0.0685
F0009,5,0.2437,0.0261
F0009,6,0.2495,0.0025
F0009,7,0.5829,0.0401
F0009,8,0.1356,0.0101
F0009,9,0.1718,0.0449
F0009,10,0.1315,0.0848
F0009,11,0.6425,-0.0316
F0009,12,1.1248,-0.1069
F0009,13,0.3249,-0.1408
F0009,14,0.247,-0.08
F0009,15,0.3908,-0.1244
F0009,16,0.6541,0.0508
F0009,17,0.3224,-0.1919
F0009,18,0.3617,-0.0363
F0009,19,0.225,0.0033
F0009,20,0.0754,0.0332
F0009,21,0.1498,0.0302
F0009,22,0.0553,0.0507
F0009,23,0.1938,0.0111
F0009,24,0.1278,0.0634
F0009,25,0.2256,-0.0472
F0009,26,0.1029,-0.0457
F0009,27,0.2391,0.0599
F0009,28,0.1953,0.0687
F0009,29,0.1917,0.0445
F0009,30,0.0759,-0.0437
F0009,31,0.206,0.0102
F0009,32,0.1812,0.0836
F0009,33,0.1704,0.0544
F0009,34,0.1796,0.0074
F0009,35,0.0451,0.0533
F0009,36,0.1103,0.0385
F0009,37,0.2227,0.0119
F0009,38,0.0602,-0.055
F0009,39,0.6035,0.0073
F0009,40,0.8961,-0.0183
F0009,41,0.5579,0.0393
F0009,42,0.4097,-0.1077
F0009,43,0.0925,-0.0129
F0009,44,0.9549,-0.0236
F0009,45,0.0793,-0.0309
F0009,46,1.532,0.0636
F0009,47,0.3741,0.0767
F0009,48,0.2845,0.0635
F0009,49,0.3604,0.053
F0009,50,0.2462,0.0773
F0010,1,0.9509,0.0204
F0010,2,1.0361,0.0711
F0010,3,0.6649,0.0855
F0010,4,0.4614,0.0921
F0010,5,0.2919,0.0741
F0010,6,0.363,0.0937
F0010,7,0.6658,0.1483
F0010,8,0.1289,0.1012
F0010,9,0.1943,0.0296
F0010,10,0.1726,0.1687
F0010,11,0.8704,-0.0011
F0010,12,1.2521,-0.031
F0010,13,0.3557,0.0135
F0010,14,0.2585,-0.071
F0010,15,0.4321,0.0162
F0010,16,0.7811,0.1162
F0010,17,0.4275,-0.1221
F0010,18,0.3361,-0.0281
F0010,19,0.2448,0.0104
F0010,20,0.0763,-0.0099
F0010,21,0.1142,0.1356
F0010,22,0.062,0.1141
F0010,23,0.1769,0.1354
F0010,24,0.1555,0.0682
F0010,25,0.298,0.0857
F0010,26,0.1012,0.0052
F0010,27,0.2627,0.1237
F0010,28,0.2456,0.1116
F0010,29,0.2043,0.0925
F0010,30,0.1073,0.0396
F0010,31,0.2802,0.094
F0010,32,0.2285,0.0997
F0010,33,0.2087,0.1078
F0010,34,0.2271,0.0627
F0010,35,0.049,0.038
F0010,36,0.0931,0.0221
F0010,37,0.2936,0.0862
F0010,38,0.064,-0.0092
F0010,39,0.6569,0.0568
F0010,40,1.1365,-0.002
F0010,41,0.5766,0.1116
F0010,42,0.4221,0.0606
F0010,43,0.1069,0.0673
F0010,44,1.3811,0.0147
F0010,45,0.0849,0.0258
F0010,46,1.6944,0.1618
F0010,47,0.4166,0.097
F0010,48,0.3122,0.0829
F0010,49,0.4734,0.0294
F0010,50,0.2653,0.1137
F0011,1,1.1974,-0.0014
F0011,2,1.0867,0.0334
F0011,3,0.9557,0.0815
F0011,4,0.596,0.0576
F0011,5,0.2793,0.0245
F0011,6,0.5418,0.0536
F0011,7,0.8697,0.0691
F0011,8,0.2071,-0.0253
F0011,9,0.1767,0.0328
F0011,10,0.1629,0.1495
F0011,11,0.9552,-0.0886
F0011,12,1.3894,-0.1359
F0011,13,0.4156,-0.0629
F0011,14,0.3023,-0.0399
F0011,15,0.5557,-0.0452
F0011,16,0.6841,0.0837
F0011,17,0.5502,-0.1137
F0011,18,0.4796,-0.0427
F0011,19,0.3407,-0.0446
F0011,20,0.1017,-0.0005
F0011,21,0.1404,0.1188
F0011,22,0.0768,0.0997
F0011,23,0.2495,0.0604
F0011,24,0.2127,0.0237
F0011,25,0.2358,-0.0126
F0011,26,0.1307,0.0061
F0011,27,0.2717,0.058
F0011,28,0.2774,0.0838
F0011,29,0.1823,0.0484
F0011,30,0.096,0.0313
F0011,31,0.3049,0.0502
F0011,32,0.2376,0.097
F0011,33,0.2486,0.0309
F0011,34,0.2222,0.0138
F0011,35,0.059,0.0549
F0011,36,0.1382,-0.0012
F0011,37,0.3455,0.0171
F0011,38,0.0786,0.0295
F0011,39,0.679,-0.0049
F0011,40,1.118,0.0439
F0011,41,0.5542,0.0421
F0011,42,0.5363,0.0104
F0011,43,0.1323,0.0076
F0011,44,1.5022,-0.0384
F0011,45,0.0709,0.0666
F0011,46,1.7546,0.1141
F0011,47,0.4536,0.0267
F0011,48,0.3881,0.0644
F0011,49,0.6043,0.0474
F0011,50,0.3147,0.1267
F0012,1,0.9136,0.048
F0012,2,0.8087,0.1321
F0012,3,0.6711,0.0749
F0012,4,0.4165,0.1293
F0012,5,0.2625,0.0777
F0012,6,0.3119,0.0841
F0012,7,0.6275,0.0911
F0012,8,0.1336,0.083
F0012,9,0.1398,0.0884
F0012,10,0.1599,0.1028
F0012,11,0.7189,-0.0074
F0012,12,1.1882,-0.006
F0012,13,0.3233,0.024
F0012,14,0.2271,0.0076
F0012,15,0.2682,0.0536
F0012,16,0.5937,0.1435
F0012,17,0.3011,-0.1019
F0012,18,0.2915,0.0377
F0012,19,0.192,0.0627
F0012,20,0.0513,0.1253
F0012,21,0.1019,0.1131
F0012,22,0.0443,0.1356
F0012,23,0.1217,0.129
F0012,24,0.1048,0.0784
F0012,25,0.1865,0.0925
F0012,26,0.08,0.0194
F0012,27,0.2012,0.1639
F0012,28,0.2042,0.1292
F0012,29,0.1358,0.0662
F0012,30,0.0708,0.0014
F0012,31,0.1996,0.1044
F0012,32,0.2015,0.1057
F0012,33,0.1763,0.1652
F0012,34,0.1806,0.0579
F0012,35,0.0449,0.0961
F0012,36,0.0871,0.0714
F0012,37,0.2247,0.0218
F0012,38,0.0507,0.0894
F0012,39,0.5108,0.0306
F0012,40,0.8059,0.07
F0012,41,0.4344,0.0693
F0012,42,0.268,0.0302
F0012,43,0.0781,0.1115
F0012,44,0.9363,0.0754
F0012,45,0.0577,0.0918
F0012,46,1.2625,0.1999
F0012,47,0.328,0.0678
F0012,48,0.224,0.1164
F0012,49,0.3353,0.0921
F0012,50,0.1913,0.2367
F0013,1,1.0838,0.0639
F0013,2,1.1993,0.0611
F0013,3,1.0043,0.0256
F0013,4,0.7315,0.1235
F0013,5,0.3964,0.0574
F0013,6,0.5843,0.0685
F0013,7,0.9549,0.0082
F0013,8,0.2374,0.0551
F0013,9,0.2241,0.0541
F0013,10,0.1939,0.1181
F0013,11,1.2276,-0.047
F0013,12,2.0629,-0.0716
F0013,13,0.4663,0.0242
F0013,14,0.4122,-0.0456
F0013,15,0.5276,-0.0322
F0013,16,0.8287,0.0901
F0013,17,0.4886,-0.1001
F0013,18,0.4042,-0.0272
F0013,19,0.2545,0.0354
F0013,20,0.0773,0.0682
F0013,21,0.1344,0.1004
F0013,22,0.0717,0.1427
F0013,23,0.2422,0.048
F0013,24,0.189,0.0313
F0013,25,0.2557,0.0447
F0013,26,0.1114,0.0448
F0013,27,0.2811,0.085
F0013,28,0.2603,0.1016
F0013,29,0.2219,0.1099
F0013,30,0.1147,0.1
F0013,31,0.2393,0.0805
F0013,32,0.2064,0.0932
F0013,33,0.2399,0.0573
F0013,34,0.2076,0.0523
F0013,35,0.0554,0.0991
F0013,36,0.1106,0.1545
F0013,37,0.3112,0.0497
F0013,38,0.0626,0.1049
F0013,39,0.8356,0.0657
F0013,40,0.9124,0.0432
F0013,41,0.5978,0.0994
F0013,42,0.49,0.0416
F0013,43,0.0897,0.023
F0013,44,1.537,0.0704
F0013,45,0.0973,0.0144
F0013,46,1.8966,0.182
F0013,47,0.4156,0.0926
F0013,48,0.3838,0.1011
F0013,49,0.4488,0.0478
F0013,50,0.279,0.1388
F0014,1,0.9118,0.015
F0014,2,0.9918,0.0597
F0014,3,0.7073,0.0536
F0014,4,0.5312,-0.0208
F0014,5,0.3205,0.0201
F0014,6,0.392,0.0727
F0014,7,0.6009,-0.0123
F0014,8,0.1688,0.0287
F0014,9,0.1868,0.0069
F0014,10,0.1617,0.1324
F0014,11,0.8938,-0.0442
F0014,12,1.0855,-0.0361
F0014,13,0.4128,-0.0436
F0014,14,0.2489,-0.0578
F0014,15,0.4659,0.0009
F0014,16,0.7298,0.0526
F0014,17,0.5152,-0.127
F0014,18,0.3568,-0.0011
F0014,19,0.2761,-0.0189
F0014,20,0.0889,0.0366
F0014,21,0.1634,0.0405
F0014,22,0.0683,0.0691
F0014,23,0.2439,0.0129
F0014,24,0.1496,-0.0361
F0014,25,0.2647,-0.0278
F0014,26,0.1095,0.0084
F0014,27,0.2773,0.0809
F0014,28,0.2628,0.1092
F0014,29,0.2036,0.0407
F0014,30,0.0936,0.0338
F0014,31,0.2697,0.0069
F0014,32,0.2423,0.0545
F0014,33,0.2842,0.0903
F0014,34,0.2321,0.0318
F0014,35,0.0601,0.0647
F0014,36,0.1141,0.0477
F0014,37,0.3446,0.0011
F0014,38,0.0656,-0.0117
F0014,39,0.6529,-0.0276
F0014,40,1.1,0.0616
F0014,41,0.748,-0.0228
F0014,42,0.4727,0.0519
F0014,43,0.1101,0.026
F0014,44,1.1175,0.0125
F0014,45,0.0761,0.0386
F0014,46,1.5106,0.1383
F0014,47,0.534,0.0398
F0014,48,0.322,0.0159
F0014,49,0.5213,0.0106
F0014,50,0.237,0.1273
F0015,1,0.9688,0.0482
F0015,2,0.9874,0.1307
F0015,3,0.812,0.1142
F0015,4,0.5868,0.0542
F0015,5,0.3222,0.0767
F0015,6,0.3906,0.1092
F0015,7,0.7228,0.1144
F0015,8,0.182,-0.0064
F0015,9,0.2158,-0.0185
F0015,10,0.1494,0.1874
F0015,11,0.8667,-0.0281
F0015,12,1.2861,0.0238
F0015,13,0.312,0.0231
F0015,14,0.2849,-0.0616
F0015,15,0.4241,-0.0241
F0015,16,0.7645,0.1336
F0015,17,0.3492,-0.0886
F0015,18,0.3228,0.0775
F0015,19,0.1985,0.0788
F0015,20,0.0763,0.0617
F0015,21,0.1167,0.0957
F0015,22,0.0557,0.1238
F0015,23,0.173,0.0446
F0015,24,0.1457,0.0232
F0015,25,0.2146,0.0307
F0015,26,0.0914,0.1007
F0015,27,0.2621,0.1335
F0015,28,0.1959,0.1216
F0015,29,0.1746,0.083
F0015,30,0.0913,0.0186
F0015,31,0.2217,0.0834
F0015,32,0.2033,0.12
F0015,33,0.2131,0.1046
F0015,34,0.1838,0.0938
F0015,35,0.0553,0.0939
F0015,36,0.0997,0.1168
F0015,37,0.2722,0.061
F0015,38,0.0621,0.1272
F0015,39,0.5565,0.1026
F0015,40,0.731,0.066
F0015,41,0.6665,0.0929
F0015,42,0.3943,0.0446
F0015,43,0.1017,0.0676
F0015,44,1.1331,0.048
F0015,45,0.0764,0.0618
F0015,46,1.4475,0.1334
F0015,47,0.4427,0.1318
F0015,48,0.3269,0.1617
F0015,49,0.4751,0.092
F0015,50,0.2542,0.1632
F0016,1,0.775,0.0947
F0016,2,0.8053,0.0264
F0016,3,0.6447,0.0734
F0016,4,0.3832,0.0705
F0016,5,0.2566,-0.0132
F0016,6,0.37,0.0627
F0016,7,0.5525,0.1002
F0016,8,0.1483,0.0286
F0016,9,0.1803,0.0255
F0016,10,0.1281,0.0846
F0016,11,0.7642,-0.0221
F0016,12,1.1667,-0.0829
F0016,13,0.3156,-0.0651
F0016,14,0.2003,-0.1222
F0016,15,0.3839,-0.1239
F0016,16,0.6173,0.0451
F0016,17,0.4099,-0.1435
F0016,18,0.3237,-0.0254
F0016,19,0.1996,0.0005
F0016,20,0.0628,0.0742
F0016,21,0.0969,0.0764
F0016,22,0.0599,0.0886
F0016,23,0.202,0.0349
F0016,24,0.1122,-0.0048
F0016,25,0.2127,0.0207
F0016,26,0.087,-0.0452
F0016,27,0.2412,0.0372
F0016,28,0.2286,0.1748
F0016,29,0.1524,0.079
F0016,30,0.0684,-0.0519
F0016,31,0.1844,0.016
F0016,32,0.1471,0.1387
F0016,33,0.1934,0.0709
F0016,34,0.1653,0.0219
F0016,35,0.0509,0.0434
F0016,36,0.0943,0.0348
F0016,37,0.2314,-0.0242
F0016,38,0.0424,0.0163
F0016,39,0.5556,-0.0113
F0016,40,0.7725,0.0089
F0016,41,0.3883,-0.0014
F0016,42,0.3469,0.0209
F0016,43,0.0771,0.0277
F0016,44,1.1654,0.0278
F0016,45,0.0638,0.0186
F0016,46,1.2684,0.136
F0016,47,0.3734,0.0822
F0016,48,0.2783,0.1052
F0016,49,0.4088,0.0516
F0016,50,0.2305,0.0896
F0017,1,0.8827,0.0901
F0017,2,1.1389,0.0105
F0017,3,0.7554,0.1046
F0017,4,0.5706,0.0371
F0017,5,0.3889,0.0042
F0017,6,0.4006,0.0658
F0017,7,0.8653,0.0774
F0017,8,0.1999,0.0504
F0017,9,0.2148,0.0285
F0017,10,0.1702,0.1232
F0017,11,0.9712,0.0024
F0017,12,1.6189,-0.0423
F0017,13,0.377,-0.0454
F0017,14,0.3034,-0.0567
F0017,15,0.5839,-0.046
F0017,16,0.8137,0.1071
F0017,17,0.4725,-0.043
F0017,18,0.3772,0.0118
F0017,19,0.2343,-0.0166
F0017,20,0.0871,0.0853
F0017,21,0.1434,0.1209
F0017,22,0.0701,0.0744
F0017,23,0.278,0.0852
F0017,24,0.156,0.0198
F0017,25,0.2332,0.0494
F0017,26,0.1071,0.0079
F0017,27,0.2873,0.1115
F0017,28,0.242,0.0723
F0017,29,0.194,0.0951
F0017,30,0.096,-0.0063
F0017,31,0.2704,0.042
F0017,32,0.2104,0.0743
F0017,33,0.2746,0.0941
F0017,34,0.2334,0.08
F0017,35,0.0767,0.0086
F0017,36,0.1071,0.0377
F0017,37,0.283,0.0012
F0017,38,0.0662,0.0032
F0017,39,0.737,0.0444
F0017,40,1.0488,0.0381
F0017,41,0.6775,0.0304
F0017,42,0.5215,0.0318
F0017,43,0.0916,0.0085
F0017,44,1.1272,0.0206
F0017,45,0.0821,0.0341
F0017,46,2.0985,0.154
F0017,47,0.5071,0.0509
F0017,48,0.3191,0.0973
F0017,49,0.5317,-0.0121
F0017,50,0.2688,0.1297
F0018,1,1.1197,-0.0255
F0018,2,1.1157,0.0116
F0018,3,0.8718,0.0546
F0018,4,0.6908,-0.0014
F0018,5,0.3457,0.0038
F0018,6,0.4906,0.0014
F0018,7,0.9543,0.0469
F0018,8,0.2197,0.0528
F0018,9,0.1987,-0.0083
F0018,10,0.1798,0.072
