Farmer_ID,Farm_Size_Acres,FPO_ID,Operation_Type,Operational_Cost_INR,Actual_Carbon_Sequestered_tCO2e,Carbon_per_Acre
F00036,0.44,FPO_B,Water Management + Cropping Diversification,400.0,2.65,6.02
F00037,1.85,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,2200.0,18.27,9.88
F00038,0.21,FPO_C,Optimized Fertilizer Use,100.0,0.97,4.62
F00039,0.4,FPO_C,Water Management + Cropping Diversification,400.0,3.98,9.95
F00040,1.82,FPO_A,Diversified Cropping (Cover/Rotation),800.0,8.27,4.54
F00041,3.14,FPO_B,Optimized Fertilizer Use,900.0,20.77,6.61
F00042,1.78,FPO_C,Fertilizer Use + Soil Amendments + Cropping Diversification,1900.0,16.69,9.38
F00043,1.34,FPO_C,All Five Practices Combined,2600.0,4.86,3.63
F00044,1.11,FPO_C,Optimized Fertilizer Use,300.0,10.32,9.3
F00045,0.34,FPO_A,All Five Practices Combined,700.0,0.99,2.91
F00046,0.73,FPO_C,All Five Practices Combined,1300.0,6.16,8.44
F00047,0.95,FPO_B,Improved Water Management (AWD),600.0,5.71,6.01
F00048,4.31,FPO_C,All Five Practices Combined,7400.0,26.22,6.08
F00049,2.11,FPO_B,Optimized Fertilizer Use,600.0,13.12,6.22
F00050,0.26,FPO_B,Reduced Tillage + Soil Amendments + Water Management,300.0,1.8,6.92
F00051,2.07,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,2400.0,18.2,8.79
F00052,1.02,FPO_C,Reduced Tillage + Optimized Fertilizer Use,700.0,6.33,6.21
F00053,0.76,FPO_C,Diversified Cropping (Cover/Rotation),400.0,5.44,7.16
F00054,2.76,FPO_A,Optimized Fertilizer Use,700.0,23.36,8.46
F00055,4.2,FPO_A,Reduced Tillage + Soil Amendments + Water Management,6100.0,16.25,3.87
F00056,3.8,FPO_A,Reduced Tillage + Optimized Fertilizer Use,2600.0,8.85,2.33
F00057,0.65,FPO_A,Reduced Tillage + Soil Amendments + Water Management,900.0,1.91,2.94
F00058,1.1,FPO_C,Diversified Cropping (Cover/Rotation),500.0,6.49,5.9
F00059,2.09,FPO_B,Improved Water Management (AWD),1200.0,13.92,6.66
F00060,3.98,FPO_A,Water Management + Cropping Diversification,3800.0,17.15,4.31
F00061,0.93,FPO_B,Optimized Fertilizer Use,300.0,4.69,5.04
F00062,1.24,FPO_A,Optimized Fertilizer Use,400.0,5.67,4.57
F00063,0.5,FPO_A,Diversified Cropping (Cover/Rotation),200.0,4.77,9.54
F00064,0.45,FPO_B,Reduced Tillage + Soil Amendments + Water Management,600.0,2.73,6.07
F00065,3.38,FPO_C,Water Management + Cropping Diversification,3400.0,19.6,5.8
F00066,5.82,FPO_B,Soil Amendments,2700.0,32.61,5.6
F00067,1.39,FPO_A,Diversified Cropping (Cover/Rotation),600.0,4.55,3.27
F00068,4.09,FPO_B,Optimized Fertilizer Use,1200.0,34.6,8.46
F00069,2.15,FPO_B,Water Management + Cropping Diversification,1900.0,24.82,11.54
F00070,0.79,FPO_B,Reduced Tillage + Optimized Fertilizer Use,500.0,6.33,8.01
F00071,2.15,FPO_A,Diversified Cropping (Cover/Rotation),900.0,10.4,4.84
F00072,6.98,FPO_C,Reduced Tillage + Soil Amendments + Water Management,9800.0,28.29,4.05
F00073,1.45,FPO_B,Reduced Tillage + Optimized Fertilizer Use,1000.0,8.9,6.14
F00074,7.17,FPO_B,Diversified Cropping (Cover/Rotation),3000.0,31.9,4.45
F00075,0.11,FPO_A,Diversified Cropping (Cover/Rotation),0.0,0.84,7.64
F00076,3.41,FPO_C,Reduced Tillage + Soil Amendments + Water Management,4400.0,32.18,9.44
F00077,1.64,FPO_A,Optimized Fertilizer Use,500.0,7.92,4.83
F00078,1.11,FPO_A,Optimized Fertilizer Use,400.0,5.69,5.13
F00079,1.64,FPO_A,Reduced Tillage + Optimized Fertilizer Use,1000.0,10.64,6.49
F00080,0.21,FPO_A,Water Management + Cropping Diversification,200.0,1.24,5.9
F00081,1.2,FPO_C,Improved Water Management (AWD),800.0,8.28,6.9
F00082,2.14,FPO_B,Reduced Tillage + Optimized Fertilizer Use,1300.0,9.07,4.24
F00083,6.57,FPO_B,Soil Amendments,3300.0,30.39,4.63
F00084,0.89,FPO_A,Optimized Fertilizer Use,300.0,2.45,2.75
F00085,0.67,FPO_A,Reduced Tillage + Optimized Fertilizer Use,400.0,3.94,5.88
F00086,0.91,FPO_A,Diversified Cropping (Cover/Rotation),400.0,3.48,3.82
F00087,3.74,FPO_A,Water Management + Cropping Diversification,3400.0,29.21,7.81
F00088,2.08,FPO_B,All Five Practices Combined,3800.0,10.32,4.96
F00089,0.88,FPO_B,Diversified Cropping (Cover/Rotation),400.0,6.19,7.03
F00090,2.5,FPO_C,Optimized Fertilizer Use,800.0,14.09,5.64
F00091,1.65,FPO_C,Soil Amendments,800.0,10.16,6.16
F00092,3.95,FPO_C,Optimized Fertilizer Use,1300.0,22.59,5.72
F00093,0.74,FPO_A,Optimized Fertilizer Use,200.0,4.97,6.72
F00094,1.08,FPO_B,Diversified Cropping (Cover/Rotation),500.0,5.66,5.24
F00095,1.01,FPO_A,All Five Practices Combined,1800.0,2.35,2.33
F00096,0.35,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,400.0,1.46,4.17
F00097,2.02,FPO_A,Water Management + Cropping Diversification,2100.0,15.14,7.5
F00098,1.95,FPO_B,Optimized Fertilizer Use,600.0,3.94,2.02
F00099,1.51,FPO_B,Diversified Cropping (Cover/Rotation),700.0,9.98,6.61
F00100,1.19,FPO_B,Water Management + Cropping Diversification,1200.0,6.25,5.25
F00101,0.36,FPO_A,Improved Water Management (AWD),200.0,2.7,7.5
F00102,0.98,FPO_B,All Five Practices Combined,1900.0,4.37,4.46
F00103,1.06,FPO_A,All Five Practices Combined,2000.0,5.85,5.52
F00104,0.67,FPO_A,Improved Water Management (AWD),400.0,2.84,4.24
F00105,1.28,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,1400.0,8.63,6.74
F00106,2.24,FPO_A,Soil Amendments,1200.0,21.01,9.38
F00107,9.88,FPO_B,Diversified Cropping (Cover/Rotation),4100.0,70.92,7.18
F00108,1.78,FPO_B,Reduced Tillage + Optimized Fertilizer Use,1200.0,10.5,5.9
F00109,1.94,FPO_A,Water Management + Cropping Diversification,1900.0,12.02,6.2
F00110,1.39,FPO_C,Fertilizer Use + Soil Amendments + Cropping Diversification,1500.0,10.16,7.31
F00111,0.22,FPO_B,Reduced Tillage + Soil Amendments + Water Management,300.0,1.95,8.86
F00112,1.46,FPO_C,Diversified Cropping (Cover/Rotation),600.0,7.42,5.08
F00113,1.59,FPO_C,All Five Practices Combined,2900.0,9.7,6.1
F00114,17.6,FPO_A,Optimized Fertilizer Use,5100.0,140.26,7.97
F00115,1.24,FPO_C,Reduced Tillage,500.0,5.18,4.18
F00116,2.03,FPO_C,Diversified Cropping (Cover/Rotation),900.0,6.13,3.02
F00117,1.45,FPO_B,Diversified Cropping (Cover/Rotation),600.0,8.02,5.53
F00118,0.47,FPO_A,Reduced Tillage + Optimized Fertilizer Use,300.0,1.55,3.3
F00119,4.7,FPO_C,Diversified Cropping (Cover/Rotation),1900.0,43.84,9.33
F00120,3.18,FPO_B,Soil Amendments,1700.0,25.53,8.03
F00121,3.31,FPO_A,Diversified Cropping (Cover/Rotation),1400.0,35.19,10.63
F00122,0.6,FPO_B,Improved Water Management (AWD),400.0,3.66,6.1
F00123,6.09,FPO_A,Soil Amendments,3100.0,36.18,5.94
F00124,0.37,FPO_A,All Five Practices Combined,700.0,1.86,5.03
F00125,2.7,FPO_B,Diversified Cropping (Cover/Rotation),1100.0,22.26,8.24
F00126,13.4,FPO_A,Water Management + Cropping Diversification,13900.0,30.39,2.27
F00127,0.56,FPO_A,Improved Water Management (AWD),300.0,2.24,4.0
F00128,0.85,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,1000.0,7.78,9.15
F00129,1.66,FPO_A,Improved Water Management (AWD),900.0,12.12,7.3
F00130,0.91,FPO_A,All Five Practices Combined,1500.0,3.61,3.97
F00131,0.32,FPO_B,Improved Water Management (AWD),200.0,1.78,5.56
F00132,1.61,FPO_C,All Five Practices Combined,2800.0,8.57,5.32
F00133,0.52,FPO_B,Improved Water Management (AWD),300.0,3.68,7.08
F00134,2.41,FPO_A,Improved Water Management (AWD),1300.0,13.12,5.44
F00135,0.6,FPO_A,Reduced Tillage + Soil Amendments + Water Management,900.0,4.6,7.67
F00136,7.06,FPO_A,Improved Water Management (AWD),4100.0,40.01,5.67
F00137,0.68,FPO_B,Improved Water Management (AWD),400.0,2.51,3.69
F00138,1.09,FPO_B,Improved Water Management (AWD),700.0,9.98,9.16
F00139,3.38,FPO_B,Optimized Fertilizer Use,1100.0,20.05,5.93
F00140,0.44,FPO_B,Diversified Cropping (Cover/Rotation),200.0,3.51,7.98
F00141,1.88,FPO_A,Reduced Tillage + Optimized Fertilizer Use,1100.0,6.72,3.57
F00142,5.54,FPO_C,Water Management + Cropping Diversification,5300.0,40.65,7.34
F00143,0.3,FPO_A,Improved Water Management (AWD),200.0,1.91,6.37
F00144,1.8,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,2200.0,7.63,4.24
F00145,1.94,FPO_A,Reduced Tillage,800.0,12.53,6.46
F00146,3.28,FPO_B,Optimized Fertilizer Use,1100.0,25.48,7.77
F00147,0.44,FPO_B,Diversified Cropping (Cover/Rotation),200.0,2.15,4.89
F00148,0.4,FPO_B,Optimized Fertilizer Use,100.0,2.42,6.05
F00149,2.53,FPO_A,Diversified Cropping (Cover/Rotation),1200.0,10.98,4.34
F00150,2.02,FPO_A,Reduced Tillage + Optimized Fertilizer Use,1300.0,7.21,3.57
F00151,1.93,FPO_B,Water Management + Cropping Diversification,1700.0,8.6,4.46
F00152,2.12,FPO_A,Reduced Tillage + Soil Amendments + Water Management,2600.0,15.39,7.26
F00153,0.76,FPO_B,Reduced Tillage + Soil Amendments + Water Management,900.0,6.13,8.07
F00154,1.89,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,2200.0,8.95,4.74
F00155,2.01,FPO_B,Diversified Cropping (Cover/Rotation),1000.0,14.62,7.27
F00156,0.73,FPO_B,Improved Water Management (AWD),400.0,3.64,4.99
F00157,9.68,FPO_A,Optimized Fertilizer Use,2700.0,56.78,5.87
F00158,2.41,FPO_B,Water Management + Cropping Diversification,2400.0,17.15,7.12
F00159,0.46,FPO_C,Fertilizer Use + Soil Amendments + Cropping Diversification,500.0,3.45,7.5
F00160,2.89,FPO_B,Improved Water Management (AWD),1900.0,19.73,6.83
F00161,0.57,FPO_C,Optimized Fertilizer Use,200.0,3.86,6.77
F00162,3.29,FPO_B,Water Management + Cropping Diversification,2800.0,20.97,6.37
F00163,4.77,FPO_B,Improved Water Management (AWD),3100.0,28.28,5.93
F00164,0.66,FPO_C,Diversified Cropping (Cover/Rotation),300.0,4.77,7.23
F00165,3.93,FPO_A,Reduced Tillage + Soil Amendments + Water Management,4900.0,20.51,5.22
F00166,2.26,FPO_B,Diversified Cropping (Cover/Rotation),1100.0,12.3,5.44
F00167,3.41,FPO_A,Improved Water Management (AWD),2000.0,29.34,8.6
F00168,9.99,FPO_B,Water Management + Cropping Diversification,9700.0,63.47,6.35
F00169,1.17,FPO_A,Optimized Fertilizer Use,400.0,7.19,6.15
F00170,0.71,FPO_B,Water Management + Cropping Diversification,700.0,5.62,7.92
F00171,0.62,FPO_B,Diversified Cropping (Cover/Rotation),300.0,6.29,10.15
F00172,0.66,FPO_C,All Five Practices Combined,1200.0,3.53,5.35
F00173,1.39,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,1600.0,7.29,5.24
F00174,2.11,FPO_A,Improved Water Management (AWD),1200.0,11.59,5.49
F00175,1.98,FPO_A,Optimized Fertilizer Use,600.0,11.76,5.94
F00176,3.43,FPO_B,Improved Water Management (AWD),2200.0,22.03,6.42
F00177,1.52,FPO_B,Optimized Fertilizer Use,500.0,11.81,7.77
F00178,6.41,FPO_B,Reduced Tillage + Soil Amendments + Water Management,8100.0,35.99,5.61
F00179,1.15,FPO_C,Improved Water Management (AWD),700.0,7.24,6.3
F00180,22.76,FPO_B,Improved Water Management (AWD),12800.0,156.73,6.89
F00181,2.8,FPO_A,Soil Amendments,1300.0,13.59,4.85
F00182,0.64,FPO_C,Water Management + Cropping Diversification,700.0,5.21,8.14
F00183,0.51,FPO_C,Optimized Fertilizer Use,200.0,4.36,8.55
F00184,2.43,FPO_A,All Five Practices Combined,4100.0,12.08,4.97
F00185,1.2,FPO_A,Reduced Tillage + Optimized Fertilizer Use,700.0,10.54,8.78
F00186,3.06,FPO_C,Improved Water Management (AWD),1700.0,28.25,9.23
F00187,2.41,FPO_C,Water Management + Cropping Diversification,2400.0,15.7,6.51
F00188,1.39,FPO_B,Optimized Fertilizer Use,400.0,9.18,6.6
F00189,0.64,FPO_A,Improved Water Management (AWD),400.0,3.8,5.94
F00190,0.33,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,300.0,3.05,9.24
F00191,0.96,FPO_C,Reduced Tillage + Optimized Fertilizer Use,700.0,10.13,10.55
F00192,3.53,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,4100.0,17.81,5.05
F00193,1.86,FPO_A,Water Management + Cropping Diversification,1900.0,13.14,7.06
F00194,0.43,FPO_C,Fertilizer Use + Soil Amendments + Cropping Diversification,500.0,3.44,8.0
F00195,1.78,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,1900.0,15.11,8.49
F00196,2.2,FPO_C,Water Management + Cropping Diversification,1900.0,15.77,7.17
F00197,0.62,FPO_C,Optimized Fertilizer Use,200.0,5.07,8.18
F00198,1.75,FPO_C,All Five Practices Combined,3200.0,7.93,4.53
F00199,1.59,FPO_A,Improved Water Management (AWD),1000.0,10.09,6.35
F00200,0.48,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,600.0,2.92,6.08
F00201,2.14,FPO_B,Optimized Fertilizer Use,700.0,13.8,6.45
F00202,2.63,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,3300.0,23.25,8.84
F00203,4.43,FPO_A,Water Management + Cropping Diversification,4000.0,23.02,5.2
F00204,4.3,FPO_B,Optimized Fertilizer Use,1300.0,27.3,6.35
F00205,0.38,FPO_A,Reduced Tillage + Soil Amendments + Water Management,500.0,1.9,5.0
F00206,0.59,FPO_A,Optimized Fertilizer Use,200.0,3.94,6.68
F00207,2.51,FPO_B,All Five Practices Combined,4300.0,12.55,5.0
F00208,2.51,FPO_C,Diversified Cropping (Cover/Rotation),1100.0,23.56,9.39
F00209,2.51,FPO_A,All Five Practices Combined,4100.0,10.45,4.16
F00210,70.62,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,77500.0,513.76,7.27
F00211,2.65,FPO_C,Optimized Fertilizer Use,800.0,19.0,7.17
F00212,4.67,FPO_B,Diversified Cropping (Cover/Rotation),2000.0,27.19,5.82
F00213,3.89,FPO_C,Diversified Cropping (Cover/Rotation),1700.0,21.65,5.57
F00214,2.87,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,3200.0,19.04,6.63
F00215,1.09,FPO_C,Diversified Cropping (Cover/Rotation),500.0,7.21,6.61
F00216,3.2,FPO_C,All Five Practices Combined,5900.0,21.83,6.82
F00217,0.69,FPO_A,Optimized Fertilizer Use,200.0,4.38,6.35
F00218,1.18,FPO_B,Optimized Fertilizer Use,300.0,8.59,7.28
F00219,0.92,FPO_B,Diversified Cropping (Cover/Rotation),400.0,5.45,5.92
F00220,1.63,FPO_B,Improved Water Management (AWD),1000.0,5.58,3.42
F00221,15.17,FPO_A,Diversified Cropping (Cover/Rotation),7000.0,78.67,5.19
F00222,0.23,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,300.0,0.38,1.65
F00223,2.98,FPO_B,Optimized Fertilizer Use,800.0,12.69,4.26
F00224,0.3,FPO_C,Optimized Fertilizer Use,100.0,1.77,5.9
F00225,0.93,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,1000.0,5.21,5.6
F00226,4.45,FPO_B,Optimized Fertilizer Use,1300.0,26.92,6.05
F00227,1.6,FPO_A,Optimized Fertilizer Use,500.0,6.72,4.2
F00228,0.51,FPO_B,All Five Practices Combined,900.0,2.8,5.49
F00229,0.73,FPO_A,Optimized Fertilizer Use,200.0,6.22,8.52
F00230,2.96,FPO_C,Optimized Fertilizer Use,900.0,22.69,7.67
F00231,0.72,FPO_B,Water Management + Cropping Diversification,700.0,5.48,7.61
F00232,1.86,FPO_C,Optimized Fertilizer Use,600.0,13.29,7.15
F00233,1.57,FPO_B,All Five Practices Combined,2800.0,15.28,9.73
F00234,0.78,FPO_B,Optimized Fertilizer Use,200.0,3.71,4.76
F00235,12.79,FPO_A,Optimized Fertilizer Use,4200.0,69.36,5.42
F00236,2.83,FPO_A,Soil Amendments,1500.0,19.14,6.76
F00237,0.2,FPO_B,Reduced Tillage + Optimized Fertilizer Use,100.0,1.82,9.1
F00238,1.81,FPO_C,Water Management + Cropping Diversification,1800.0,12.28,6.78
F00239,0.77,FPO_A,Fertilizer Use + Soil Amendments + Cropping Diversification,1000.0,4.26,5.53
F00240,3.52,FPO_B,Fertilizer Use + Soil Amendments + Cropping Diversification,4000.0,10.55,3.0
F00241,0.68,FPO_A,Diversified Cropping (Cover/Rotation),300.0,4.35,6.4
F00242,1.34,FPO_B,Diversified Cropping (Cover/Rotation),600.0,10.57,7.89
F00243,2.48,FPO_C,Diversified Cropping (Cover/Rotation),1200.0,17.79,7.17
F00244,3.56,FPO_A,Reduced Tillage + Soil Amendments + Water Management,4900.0,11.26,3.16
F00245,0.45,FPO_B,Optimized Fertilizer Use,100.0,3.1,6.89
F00246,1.07,FPO_A,Water Management + Cropping Diversification,1000.0,6.92,6.47
F00247,0.93,FPO_C,Diversified Cropping (Cover/Rotation),400.0,6.49,6.98
F00248,0.78,FPO_B,Diversified Cropping (Cover/Rotation),400.0,4.16,5.33
F00249,8.76,FPO_A,Diversified Cropping (Cover/Rotation),4200.0,32.15,3.67
F00250,2.25,FPO_A,Water Management + Cropping Diversification,2100.0,18.2,8.09
